move,көшу
like,сияқты
night,түн
alive,тірі
point,нүкте
believe,сену
hold,ұстау
today,бүгін
bring,әкелу
happen,орын алу
next,келесі
before,бұрын
large,үлкен
all,барлық
must,керек
home,үй
under,астында
water,су
room,бөлме
write,жазу
mother,ана
area,аудан
national,ұлттық
money,ақша
story,оқиға
young,жас
fact,факт
month,ай
different,әр-түрлі
lot,көп
right,оң
study,оқу
book,кітап
eye,көз
job,жұмыс
word,сөз
though,бірақ
business,бизнес
issue,іс
side,тарап
kind,мейірімді
four,төрт
head,бас
far,алыс
black,қара
long,ұзақ
both,екеуі де
little,кішкентай
house,үй
after,кейін
since,содан бері
long,ұзақ
provide,қамтамасыз ету
service,қызмет
around,айналасында
friend,дос
important,маңызды
father,әке
sit,отыру
away,аулақ
until,дейін
power,күш
hour,сағат
game,ойын
often,жиі
yet,тағы
line,түзу
political,саяси
end,cоңы
among,арасында
stand,тұру
bad,жаман
lose,жоғалту
however,дегенмен
member,мүше
pay,төлеу
law,заң
meet,кездестіру
car,машина
city,қала
almost,дерлік
include,қамту
continue,жалғастыру
set,орнату
later,кейінірек
community,қауым
much,өте
name,ат
five,бес
once,бір рет
white,ақ
least,аз дегенде
learn,үйрену
real,шын
change,өзгеріс
team,команда
best,ең жақсы
several,бірнеше
kid,бала
body,дене
information,ақпарат
nothing,ештеңе
ago,бұрын
right,оң
lead,қорғасын
social,қоғамдық
understand,түсіну
back,артқа
watch,сағат
together,бірге
around,айналасында
parent,ата-ана
only,тек
stop,тоқта
face,бет
anything,бірдеме
create,жасау
already,қазірдің өзінде
speak,сөйлеу
others,басқалар
read,оқу
level,деңгей
allow,рұқсат ету
add,қосу
spend,жұмсау
door,есік
health,денсаулық
person,адам
art,өнер
sure,әрине
such,сондай
war,соғыс
history,тарих
within,ішінде
grow,өсу
result,нәтиже
open,ашық
change,өзгеріс
morning,таң
walk,жүру
reason,себеп
low,төмен
win,жеңу
research,зерттеу
girl,қыз бала
guy,жігіт
early,ерте
food,тамақ
before,бұрын
moment,сәт
himself,өзі
air,ауа
teacher,мұғалім
force,күш
offer,ұсыну
enough,жеткілікті
both,екеуі де
education,білім
across,арқылы
although,дегенмен
remember,есте сақтау
foot,аяқ
boy,ұл
maybe,мүмкін
toward,қарай
able,қабілетті
age,жас
policy,саясат
everything,барлық
love,махаббат
process,процесс
including,оның ішінде
consider,қарау
appear,пайда болу
actually,шынында
buy,сатып алу
probably,ықтимал
human,адам
wait,күту
serve,қызмет ету
market,базар
die,өлу
send,жіберу
expect,күту
home,үй
sense,сезім
build,салу
stay,қалу
fall,құлау
nation,ұлт
plan,жоспар
cut,кесу
college,колледж
interest,қызығушылық
death,өлім
course,курс
someone,біреу
experience,тәжірибе
behind,артында
reach,жету
local,жергілікті
kill,өлтіру
remain,қалу
effect,әсер
use,пайдалану
suggest,ұсыну
class,сынып
control,бақылау
raise,көтеру
care,қамқорлық жасау
perhaps,мүмкін
little,кішкентай
late,кеш
hard,қиын
field,өріс
else,тағы
pass,өту
former,бұрынғы
sell,сату
sometimes,кейде
require,талап ету
along,бойымен
development,даму
themselves,өздері
report,есеп
better,жақсырақ
economic,экономикалық
effort,күш салу
up,жоғары
decide,шешу
strong,күшті
possible,мүмкін
heart,жүрек
drug,есірткі
show,көрсету
leader,көшбасшы
light,жарық
voice,дауыс
wife,әйел
whole,бүтін
police,полиция
finally,соңында
pull,тарту
return,қайтару
free,тегін
military,әскери
price,баға
report,есеп
less,аздау
according,сәйкес
decision,шешім
explain,түсіндіру
son,ұл
hope,үміт
even,тіпті
develop,даму
view,көрініс
relationship,байланыс
carry,тасу
town,қала
road,жол
drive,диск
arm,қол
true,шынайы
break,үзіліс
better,жақсырақ
difference,айырма
thank,алғыс айту
receive,алу
value,құн
international,халықаралық
building,ғимарат
action,іс-шара
full,толық
model,модел
join,қосылу
season,маусым
society,қоғам
because,себебі
tax,салық
early,ерте
player,ойыншы
agree,келісу
especially,әсіресе
record,рекорд
pick,таңдау
wear,кию
paper,қағаз
special,арнайы
space,ғарыш
ground,жер
form,форма
support,қолдау
event,оқиға
official,ресми
whose,кімнің
matter,мәселе
everyone,әркім
center,орта
couple,жұп
site,сайт
end,cоңы
project,жоба
base,негіз
activity,қызмет
star,жұлдыз
table,үстел
need,мұқтаждық
court,сот
produce,өндіру
eat,жеу
teach,үйрету
oil,мұнай
half,жарты
situation,жағдай
easy,оңай
cost,құны
industry,өнеркәсіп
figure,сан
face,бет
street,көше
image,бейне
itself,өзі
phone,телефон
either,немесе
data,мәліметтер
cover,қаптау
picture,сурет
clear,айқын
practice,практика
land,жер
recently,жуырда
describe,сипаттау
product,өнім
doctor,дәрігер
wall,қабырға
patient,пациент
worker,жұмысшы
news,жаңалықтар
test,сынақ
movie,фильм
certain,белгілі
north,солтүстік
love,махаббат
